basin_id,latitude,longitude,length_km_river,perc_agricul,perc_bog,perc_eff_lake,perc_lake,perc_glacier,perc_forest,perc_mountain,perc_urban,area_total,height_minimum,height_maximum,height_hypso_10,height_hypso_20,height_hypso_30,height_hypso_40,height_hypso_50,height_hypso_60,height_hypso_70,height_hypso_80,height_hypso_90,specific_runoff,annual_runoff,is_sk,mean_summer_prec,mean_fall_prec,mean_annual_prec,mean_wet_days,mean_summer_temp,mean_winter_temp,utm_east_z33,utm_north_z33
88X16X0,61.91643,7.12472,27.22,0.43,0.0,0.14,2.59,16.82,13.37,61.67,0.0,231.89,41.0,1933.0,568.0,833.0,1055.0,1155.0,1262.0,1372.0,1467.0,1543.0,1625.0,66.86,,0.0,298.252121212121,529.681818181818,5.41480126130612,0.510746450871468,7.73749011857708,-8.18649193548387,87112.0,6889962.0
88X30X0,61.79201,6.82233,22.44,1.65,0.0099999999999999,3.37,4.4,35.64,19.21,36.08,0.0,201.67,33.0,1953.0,166.0,525.0,856.0,1100.0,1299.0,1439.0,1555.0,1640.0,1735.0,75.38,,0.0,263.200909090909,504.714242424242,4.67449091361713,0.486831650417234,7.96056324110672,-7.67148521505376,69571.0,6878145.0
88X4X0,61.85897,6.88935,19.25,0.0,0.0,4.5,5.11,33.21,16.18,42.57,0.0,234.88,52.0,2071.0,211.0,614.0,930.0,1174.0,1337.0,1487.0,1592.0,1666.0,1744.0,64.68,,0.0,292.2306060606061,526.832727272727,5.24236826819351,0.502530682953612,7.819617918313569,-7.90142809139785,74018.0,6885121.0
8X2X0,59.89347,10.50814,24.72,6.06,2.9000000000000004,0.07,1.7200000000000002,0.0,82.97,0.0,3.97,190.77,5.0,680.0,121.0,197.0,262.0,308.0,341.0,372.0,399.0,436.0,493.0,19.06,,0.0,294.797272727273,315.307272727273,2.8111268774375606,0.331036246636725,14.3748649538867,-3.72261760752688,248777.0,6648073.0
8X6X0,59.94379,10.56635,4.86,2.41,3.37,0.01,0.16,0.0,93.26,0.0,0.48,6.28,102.0,420.0,173.0,197.0,208.0,221.0,240.0,259.0,280.0,318.0,381.0,17.56,,0.0,304.431515151515,336.515454545455,2.92398141233093,0.321323643919734,14.985441370224,-3.37925403225806,252405.0,6653449.0
8X8X0,59.90805,10.56091,13.82,11.96,2.25,0.29,1.36,0.0,72.64,0.0,8.37,22.59,21.0,458.0,103.0,131.0,158.0,183.0,208.0,229.0,262.0,317.0,379.0,18.4,,0.0,303.714545454545,335.033939393939,2.90770143556551,0.324392791821971,15.086511857707498,-3.3168951612903195,251835.0,6649495.0
90X1X0,61.84174,5.02764,2.11,0.0,0.0,0.0,0.0,0.0,0.0,33.44,0.0,2.99,45.0,501.0,109.0,142.0,179.0,222.0,263.0,293.0,318.0,341.0,377.0,73.8,,0.0,397.652121212121,674.21303030303,5.6825375487511405,0.549436584015651,12.6989756258235,0.227063172043011,-23554.0,6896868.0
91X2X0,62.16243,5.16649,8.08,1.32,3.03,4.72,10.19,0.0,3.65,66.52,0.04,25.72,47.0,527.0,60.0,105.0,160.0,204.0,252.0,313.0,358.0,403.0,455.0,63.48,,0.0,511.990606060606,807.275151515152,7.10168450750975,0.560226116629894,12.6015283267457,0.330430107526882,-10883.0,6931180.0
96X3X0,62.36242,6.0073,9.12,6.94,1.49,5.44,10.65,0.0,34.06,17.88,0.67,40.37,18.0,661.0,23.0,36.0,69.0,121.0,183.0,245.0,288.0,347.0,418.0,42.87,,0.0,401.777575757576,669.684848484848,5.95935441042237,0.519865230305448,12.9405994729908,0.765635080645161,35685.0,6946931.0
97X1X0,62.33236,6.59336,17.78,3.37,0.0,1.54,1.12,2.25,35.93,48.28999999999999,0.0,89.05,1.0,1581.0,98.0,228.0,377.0,488.0,591.0,713.0,837.0,961.0,1121.0,88.86,,0.0,368.447575757576,641.367878787879,6.404369761845489,0.484844661330896,11.0135375494071,-3.23701612903226,65379.0,6939517.0
97X5X0,62.07259,6.4524,3.86,2.57,3.4800000000000004,0.0,0.04,0.0,28.079999999999995,63.98,0.0,9.26,326.0,1379.0,359.0,427.0,515.0,634.0,740.0,832.0,913.0,978.0,1099.0,73.61,,0.0,365.506666666667,725.008181818182,6.87226122313501,0.52053589595816,10.5055731225296,-4.19336357526882,54299.0,6911720.0
98X4X0,62.06826,6.93157,20.69,2.24,0.36,0.26,4.2,3.790000000000002,17.59,64.86,0.0,138.78,147.0,1848.0,428.0,607.0,765.0,877.0,982.0,1085.0,1183.0,1281.0,1408.0,61.37,,0.0,258.746060606061,454.938787878788,4.4287096506514,0.485090193163075,9.18987812911726,-6.37270833333333,79128.0,6908028.0
aarvik,60.1730981879045,6.1233438698461,11.4,0.0,0.9,2.1,7.2,0.0,9.9,73.9,0.0,14.6,206.0,1183.0,488.0,588.0,682.0,752.0,801.0,860.0,894.0,932.0,991.0,106.6,,1.0,462.224848484849,774.32696969697,7.09569982576952,0.517570683817705,10.2347694334651,-4.14134318334453,8477.0,6703803.0
aasedoela,61.5201247751608,5.80775512097569,10.0,1.1,7.700000000000001,0.2,2.4,0.0,28.6,55.6,0.0,20.9,260.0,1063.0,393.0,471.0,532.0,575.0,628.0,680.0,729.0,801.0,862.0,98.9,,1.0,513.140606060606,904.582424242424,8.54674023064797,0.547448767941591,10.9123847167325,-3.38731027535259,12138.0,6855233.0
